Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,AgeCategory,FareCategory
0,3,0,22.0,1,0,A/5 21171,-0.5021631365156053,,S,2,young_adult,very_low
1,1,1,38.0,1,0,PC 17599,0.7864036178345383,C85,C,2,adult,very_low
1,3,1,26.0,0,0,STON/O2. 3101282,-0.48857985158126105,,S,1,young_adult,very_low
1,1,1,35.0,1,0,113803,0.4204940697654092,C123,S,2,adult,very_low
0,3,0,35.0,0,0,373450,-0.48606442844527137,,S,1,adult,very_low
0,3,0,29.69911764705882,0,0,330877,-0.4778480503138746,,Q,1,young_adult,very_low
0,1,0,54.0,0,0,17463,0.3955913807191113,E46,S,1,senior,very_low
0,3,0,2.0,3,1,349909,-0.22395733767514675,,S,5,child,very_low
1,3,1,27.0,0,2,347742,-0.42401799520369554,,S,3,young_adult,very_low
1,2,1,14.0,1,0,237736,-0.04293139010125909,,C,2,child,very_low
1,3,1,4.0,1,1,PP 9549,-0.3119971474347855,G6,S,3,child,very_low
1,1,1,58.0,0,0,113783,-0.11378180431879875,C103,S,1,senior,very_low
0,3,0,20.0,0,0,A/5. 2151,-0.48606442844527137,,S,1,young_adult,very_low
0,3,0,39.0,1,5,347082,-0.01869880977838891,,S,7,adult,very_low
0,3,1,14.0,0,0,350406,-0.4900045872454856,,S,1,child,very_low
1,2,1,55.0,0,0,248706,-0.32608351699632776,,S,1,senior,very_low
0,3,0,2.0,4,1,382652,-0.061964087717411374,,Q,6,child,very_low
1,2,0,29.69911764705882,0,0,244373,-0.38645367226008004,,S,1,young_adult,very_low
0,3,1,31.0,1,0,345763,-0.28583674682049287,,S,2,adult,very_low
1,3,1,29.69911764705882,0,0,2649,-0.5026662211428032,,C,1,young_adult,very_low
0,2,0,35.0,0,0,239865,-0.12484966611715337,,S,1,adult,very_low
1,2,0,34.0,0,0,248698,-0.38645367226008004,D56,S,1,adult,very_low
1,3,1,15.0,0,0,330923,-0.48648299485510005,,Q,1,child,very_low
1,1,0,28.0,0,0,113788,0.06632249221806229,A6,S,1,young_adult,very_low
0,3,1,8.0,3,1,349909,-0.22395733767514675,,S,5,child,very_low
1,3,1,38.0,1,5,347077,-0.016434928955998185,,S,7,adult,very_low
0,3,0,29.69911764705882,0,0,2631,-0.5026662211428032,,C,1,young_adult,very_low
0,1,0,19.0,3,2,19950,4.644392599719279,C23 C25 C27,S,6,young_adult,very_low
1,3,1,29.69911764705882,0,0,330959,-0.4895015026182876,,Q,1,young_adult,very_low
0,3,0,29.69911764705882,0,0,349216,-0.4891674544258282,,S,1,young_adult,very_low
0,1,0,40.0,0,0,PC 17601,-0.09022134505786503,,C,1,adult,very_low
1,1,1,29.69911764705882,1,0,PC 17569,2.300436803386727,B78,C,2,young_adult,very_low
1,3,1,29.69911764705882,0,0,335677,-0.49210144397164657,,Q,1,young_adult,very_low
0,2,0,66.0,0,0,C.A. 24579,-0.43676213497987365,,S,1,senior,very_low
0,1,0,28.0,1,0,PC 17604,1.0054969729792393,,C,2,young_adult,very_low
0,1,0,42.0,1,0,113789,0.39835834616870003,,S,2,adult,very_low
1,3,0,29.69911764705882,0,0,2677,-0.502581702925434,,C,1,young_adult,very_low
0,3,0,21.0,0,0,A./5. 2152,-0.48606442844527137,,S,1,young_adult,very_low
0,3,1,18.0,2,0,345764,-0.28583674682049287,,S,3,young_adult,very_low
1,3,1,14.0,1,0,2651,-0.4218366202601652,,C,2,child,very_low
0,3,1,40.0,1,0,7546,-0.457388604694989,,S,2,adult,very_low
0,2,1,27.0,1,0,11668,-0.22546659155674054,,S,2,young_adult,very_low
0,3,0,29.69911764705882,0,0,349253,-0.4891674544258282,,C,1,young_adult,very_low
1,2,1,3.0,1,2,SC/Paris 2123,0.18865657484452997,,C,4,child,very_low
1,3,1,19.0,0,0,330958,-0.4895015026182876,,Q,1,young_adult,very_low
0,3,0,29.69911764705882,0,0,S.C./A.4. 23567,-0.48606442844527137,,S,1,young_adult,very_low
0,3,0,29.69911764705882,1,0,370371,-0.3361452095402864,,Q,2,young_adult,very_low
1,3,1,29.69911764705882,0,0,14311,-0.49210144397164657,,Q,1,young_adult,very_low
0,3,0,29.69911764705882,2,0,2662,-0.211798788405027,,C,3,young_adult,very_low
0,3,1,18.0,1,0,349237,-0.28986142383807634,,S,2,young_adult,very_low
0,3,0,7.0,4,1,3101295,0.15058916727371655,,S,6,child,very_low
